,ticker,date,3_day_buy_and_hold_excess_return,3_day_buy_and_hold_excess_log_return,ratio_h4,ratio_fin,tfidf_h4,tfidf_neg
0,A,2021-09-01,0.0185925590525356,0.0183607413696275,0.009876909021321777,0.003926071335975406,8.317172698133131,8.413641500096269
1,A,2021-06-01,-0.0102260760860289,-0.0103124908421258,0.009907570368364697,0.003981489458591279,8.410847700882705,8.608009333842459
2,A,2021-03-02,-0.0420868308406758,-0.0447618923695081,0.009992675174216613,0.004065614310962374,8.731296530644943,8.920349756405335
3,A,2020-09-01,0.0045813751935876,0.0038542997874201,0.010482450991900458,0.003985209531635168,8.404785366768937,8.925566852363872
4,A,2020-06-01,0.0008096024609991,0.0006568879492008,0.01024569181007222,0.0039151673583462335,8.346528982175649,9.058557183721586
5,A,2020-03-03,0.0026901072381376,0.0009018398567027,0.01011251659794535,0.0038647005381228596,8.285148214883929,8.727251160646475
6,A,2019-08-30,-0.0026642288047485,-0.0027364734652011,0.010659730668712536,0.003729970122814568,7.462074895352656,8.725056529431065
7,A,2019-05-30,0.0100355297143096,0.010038117869494,0.010918943271553181,0.003798165367239416,7.353009705722698,8.296579928941028
8,A,2019-03-05,-0.0019462167859183,-0.0020330385936032,0.01068849237065107,0.0037961647966292212,7.381791510939889,8.783632955396783
9,A,2018-08-30,0.0094438775153308,0.009441510052435,0.011213811316292545,0.00364596677243255,6.290646916033252,9.249966605636736
10,A,2018-05-31,0.0020053673353605,0.0018924089768976,0.011494252873563218,0.0037389351301360813,6.359518252322122,8.8437898500015
11,A,2018-03-06,0.0269961577076493,0.0264390212967629,0.011745394856830203,0.003837315338318439,6.3037780517648425,8.684263467784607
12,A,2017-09-06,0.0096163802571058,0.0095478167221637,0.010521792071052537,0.003846291587580131,7.587628171858392,8.418755418817765
13,A,2017-06-06,-0.0032625399602133,-0.0032766625200813,0.010621552147416457,0.0038197152182075497,7.521615325971219,8.70433766376437
14,A,2017-03-08,0.0161358218738464,0.0159643559723225,0.01053521935157424,0.004032836655011215,8.021393698055906,8.992687810386332
15,A,2016-09-07,-0.0174871392541635,-0.018438944439831,0.010853779222949092,0.004196280540311283,7.247268819144136,8.390402124285364
